view,domain,surface,code,name,n,k,share,lo,hi,pv_share
all,医疗,assistant_random1k,U06,办事与操作,998,51,0.05110220440881764,0.039079334520942574,0.06656770588943768,
all,医疗,assistant_random1k,U07,个案判断与建议,998,336,0.3366733466933868,0.3080295382209924,0.366569719785463,
all,医疗,assistant_random1k,U08,清单与推荐,998,45,0.045090180360721446,0.03386740815155018,0.05980169083575482,
all,医疗,assistant_random1k,U09,获取现成内容,998,9,0.009018036072144289,0.00475152368675049,0.017049926762102905,
all,医疗,assistant_random1k,U10,生成与编辑,998,10,0.01002004008016032,0.005451616182295629,0.018346157837070307,
all,医疗,assistant_random1k,U11,会话与系统指令,998,8,0.008016032064128256,0.004067292437718945,0.015737834440621903,
all,医疗,assistant_random1k,U12,违规或灰色内容,998,1,0.001002004008016032,0.00017689566411348105,0.005653966220639558,
all,医疗,assistant_random1k,U13,无法判定,998,112,0.11222444889779559,0.09410918231376417,0.13331359589788128,
all,教育,search_top1000,U01,导航直达,1000,96,0.096,0.0792566195200465,0.11583551453775706,0.11322047479510218
all,教育,search_top1000,U02,裸实体,1000,759,0.759,0.7315325254793826,0.7844851410528672,0.7379061148903835
all,教育,search_top1000,U03,事实与数值,1000,55,0.055,0.04249722594783333,0.07090871379405425,0.044458100533415874
all,教育,search_top1000,U04,解释与介绍,1000,23,0.023,0.015374164302931469,0.0342766969484851,0.02016903928660993
all,教育,search_top1000,U05,核实与动态,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.0005782249142791731
all,教育,search_top1000,U06,办事与操作,1000,3,0.003,0.0010207654054443255,0.008783171789427854,0.005895966207204541
all,教育,search_top1000,U07,个案判断与建议,1000,0,0.0,0.0,0.003826898586390522,0.0
all,教育,search_top1000,U08,清单与推荐,1000,13,0.013,0.0076127471221297755,0.022114652101014598,0.010853879596974675
all,教育,search_top1000,U09,获取现成内容,1000,30,0.03,0.021093603189697094,0.04250368148151,0.04741594915717581
all,教育,search_top1000,U10,生成与编辑,1000,4,0.004,0.0015565629678934295,0.010239720429805971,0.002221172912444638
all,教育,search_top1000,U11,会话与系统指令,1000,0,0.0,0.0,0.003826898586390522,0.0
all,教育,search_top1000,U12,违规或灰色内容,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.0007973750185449187
all,教育,search_top1000,U13,无法判定,1000,15,0.015,0.00911089683719635,0.02460119479160246,0.016483702687864733
all,教育,search_top10k,U01,导航直达,9981,803,0.08045286043482618,0.0752767288713583,0.0859518278240228,0.09856883861889815
all,教育,search_top10k,U02,裸实体,9981,4687,0.4695922252279331,0.4598146347051695,0.47939321412039415,0.5829528358047408
all,教育,search_top10k,U03,事实与数值,9981,2354,0.2358481114116822,0.22762206505944854,0.2442774190545508,0.15342332774109751
all,教育,search_top10k,U04,解释与介绍,9981,631,0.0632201182246268,0.05861176431669848,0.06816456831936459,0.04506419796514775
all,教育,search_top10k,U05,核实与动态,9981,12,0.0012022843402464682,0.0006879047141938146,0.002100482033974529,0.0008522973265504925
