view,surface,code,name,n,k,share,lo,hi,pv_share
all,assistant_top1k,U12,违规或灰色内容,889,14,0.015748031496062992,0.00940351322502189,0.026259699600186967,0.011573344829301455
all,assistant_top1k,U13,无法判定,889,87,0.09786276715410573,0.08002628406838928,0.11915977536253326,0.1072275372651755
all,assistant_random1k,U01,导航直达,950,2,0.002105263157894737,0.0005775169811057398,0.007643554525945324,
all,assistant_random1k,U02,裸实体,950,108,0.11368421052631579,0.09503533560954652,0.13544486152171722,
all,assistant_random1k,U03,事实与数值,950,199,0.2094736842105263,0.1847922552511772,0.23649530444426908,
all,assistant_random1k,U04,解释与介绍,950,146,0.15368421052631578,0.13214901523111483,0.17800898165222512,
all,assistant_random1k,U05,核实与动态,950,155,0.1631578947368421,0.14102526942993493,0.18800378528942313,
all,assistant_random1k,U06,办事与操作,950,1,0.0010526315789473684,0.0001858347131650363,0.005938452589884022,
all,assistant_random1k,U07,个案判断与建议,950,20,0.021052631578947368,0.013668946788507674,0.0322942403905795,
all,assistant_random1k,U08,清单与推荐,950,143,0.15052631578947367,0.12919683859513387,0.17467080567620008,
all,assistant_random1k,U09,获取现成内容,950,32,0.03368421052631579,0.02395967979839758,0.04716491782871367,
all,assistant_random1k,U10,生成与编辑,950,9,0.009473684210526316,0.00499197438095776,0.017906586554107352,
all,assistant_random1k,U11,会话与系统指令,950,9,0.009473684210526316,0.00499197438095776,0.017906586554107352,
all,assistant_random1k,U12,违规或灰色内容,950,38,0.04,0.029279329020244806,0.05442597383087849,
all,assistant_random1k,U13,无法判定,950,88,0.09263157894736843,0.07580045739363624,0.11274405565758737,
interpretable,search_top1000,U01,导航直达,990,25,0.025252525252525252,0.017162201554518784,0.03701303119886967,0.014555962501260039
interpretable,search_top1000,U02,裸实体,990,541,0.5464646464646464,0.5153328501545646,0.5772372334482951,0.707546309407806
interpretable,search_top1000,U03,事实与数值,990,38,0.03838383838383838,0.02809100558960527,0.05224533774720011,0.02073735041545263
interpretable,search_top1000,U04,解释与介绍,990,345,0.3484848484848485,0.31944018171993044,0.37870085000987436,0.20285584681774327
interpretable,search_top1000,U05,核实与动态,990,2,0.00202020202020202,0.0005541755912741673,0.0073360153606843725,0.0009403485865970326
interpretable,search_top1000,U06,办事与操作,990,0,0.0,2.168404344971009e-19,0.0038654047083559384,0.0
interpretable,search_top1000,U07,个案判断与建议,990,0,0.0,2.168404344971009e-19,0.0038654047083559384,0.0
interpretable,search_top1000,U08,清单与推荐,990,23,0.023232323232323233,0.015529947182064179,0.03462049932772168,0.042960345994518236
interpretable,search_top1000,U09,获取现成内容,990,10,0.010101010101010102,0.0054957416445951465,0.018493594281773804,0.007132776836415827
interpretable,search_top1000,U10,生成与编辑,990,0,0.0,2.168404344971009e-19,0.0038654047083559384,0.0
interpretable,search_top1000,U11,会话与系统指令,990,0,0.0,2.168404344971009e-19,0.0038654047083559384,0.0
interpretable,search_top1000,U12,违规或灰色内容,990,6,0.006060606060606061,0.0027804647221540716,0.01315929871700967,0.003271059440206982
interpretable,search_top10k,U01,导航直达,9886,175,0.017701800525996358,0.015283487001651627,0.0204948008932728,0.015996386014611137
interpretable,search_top10k,U02,裸实体,9886,5272,0.5332793849888732,0.5234338739046148,0.5430990420523,0.6329576481884032
