source,label,n,distinct,hhi_strings,top1_pv_share,top5_pv_share
2026search,22,228,228,0.0043859649122807015,0.01641892308641214,0.07512489977178807
2026search,13,41,41,0.024390243902439025,0.07713647743419717,0.2952161851275459
assistant_top,8,19,19,0.05263157894736842,0.08842617631151975,0.3899405083829097
assistant_top,0,222,222,0.0045045045045045045,0.030696065715520963,0.11111111111111109
assistant_top,22,27,27,0.03703703703703703,0.11190545666763933,0.436241610738255
assistant_top,18,12,12,0.08333333333333334,0.26098735701384707,0.7092113184828416
assistant_top,5,60,60,0.016666666666666663,0.12068176618622742,0.33756577442232905
assistant_top,29,34,34,0.029411764705882353,0.195440096459498,0.42738134385618776
assistant_top,25,112,111,0.009088010204081627,0.1702298310147413,0.32215062090328295
assistant_top,9,12,12,0.08333333333333334,0.5557109557109556,0.7862470862470862
assistant_top,4,25,25,0.04,0.18230507776290042,0.5826552683077558
assistant_top,21,82,78,0.013384889946460438,0.16204528109895702,0.37134316967692693
assistant_top,1,51,51,0.019607843137254905,0.053214216352689844,0.19673723053020004
assistant_top,16,28,28,0.03571428571428572,0.1411778817320379,0.42557274799088396
assistant_top,11,41,41,0.024390243902439025,0.07268648345485136,0.260347728547392
assistant_top,17,15,15,0.06666666666666667,0.1406558672461478,0.47016989332279735
assistant_top,12,20,19,0.055000000000000014,0.16956751054852318,0.4443565400843882
assistant_top,13,5,5,0.20000000000000004,0.37603305785123964,0.9999999999999998
assistant_top,20,19,19,0.05263157894736842,0.14778676820561637,0.4302712993812469
assistant_top,3,11,11,0.09090909090909091,0.29360967184801384,0.7128670120898101
assistant_top,14,44,44,0.02272727272727272,0.16047972587093093,0.4613792118789264
assistant_top,27,22,22,0.045454545454545456,0.10298945913253847,0.4126490409538622
assistant_top,15,52,52,0.01923076923076923,0.12049836304110587,0.30692979265187337
assistant_top,19,8,8,0.125,0.22404730617608407,0.7358738501971092
assistant_top,24,9,9,0.1111111111111111,0.564238716380007,0.9325868636730925
assistant_top,26,6,6,0.16666666666666669,0.18551461245235068,0.8475222363405337
assistant_top,23,15,15,0.06666666666666667,0.18586088939566708,0.5119726339794755
assistant_top,30,7,7,0.14285714285714285,0.37857467090331365,0.8701770313209259
assistant_random,22,48,48,0.020833333333333336,0.03773584905660377,0.18867924528301885
assistant_random,29,34,34,0.029411764705882353,0.05263157894736842,0.2368421052631579
assistant_random,12,60,60,0.016666666666666663,0.05797101449275361,0.2028985507246376
assistant_random,27,43,43,0.023255813953488372,0.04166666666666667,0.20833333333333334
assistant_random,20,105,105,0.009523809523809526,0.018348623853211003,0.08256880733944953
assistant_random,30,19,19,0.05263157894736842,0.16666666666666669,0.41666666666666674
assistant_random,5,179,179,0.005586592178770951,0.02116402116402116,0.06878306878306877
assistant_random,1,15,15,0.06666666666666667,0.125,0.375
assistant_random,19,13,13,0.07692307692307694,0.0769230769230769,0.3846153846153845
assistant_random,9,72,72,0.013888888888888888,0.026666666666666665,0.10666666666666666
assistant_random,25,20,20,0.05000000000000002,0.16000000000000003,0.4000000000000001
assistant_random,0,48,48,0.020833333333333336,0.0821917808219178,0.35616438356164376
assistant_random,16,36,36,0.027777777777777776,0.16666666666666666,0.261904761904762
assistant_random,11,27,27,0.03703703703703703,0.30952380952380953,0.4761904761904763
assistant_random,15,28,28,0.03571428571428572,0.4181818181818182,0.5636363636363637
assistant_random,14,51,51,0.019607843137254905,0.39325842696629215,0.48314606741573024
assistant_random,26,28,28,0.03571428571428572,0.06666666666666667,0.2333333333333333
assistant_random,8,31,31,0.03225806451612903,0.11764705882352942,0.23529411764705885
