source,label,k,n,row_share,lo,hi,pv_share
assistant_random,人物及机构基本信息查询,92,950,0.0968421052631579,0.07962740690775542,0.11730412414731538,0.0806988352745424
assistant_random,查询人物图片,15,950,0.015789473684210527,0.009591640457602555,0.02588748300279582,0.012479201331114808
assistant_random,党委书记及常委任职查询,9,950,0.009473684210526316,0.004992031283637832,0.01790638509146139,0.007487520798668885
assistant_random,人物资料查询,82,950,0.0863157894736842,0.07008227169674566,0.1058814142161599,0.19051580698835274
assistant_random,查询人物身份与归属信息,36,950,0.037894736842105266,0.027496279906928902,0.052015318352016504,0.030782029950083195
assistant_random,省级党委书记任免查询,1,950,0.0010526315789473684,0.00018583949176248287,0.005938300769604537,0.0008319467554076539
assistant_random,人物个人简介查询,2,950,0.002105263157894737,0.0005775290663679756,0.007643395709215569,0.004159733777038269
assistant_random,查询女性人物资料,4,950,0.004210526315789474,0.001638572985958417,0.010775920818058178,0.008319467554076539
assistant_random,人物角色资料查询,9,950,0.009473684210526316,0.004992031283637832,0.01790638509146139,0.009983361064891847
assistant_random,人物年龄及属性查询,27,950,0.028421052631578948,0.019605065128068547,0.041035472502928126,0.02745424292845258
assistant_random,官员职务及履历查询,5,950,0.005263157894736842,0.0022501392157139007,0.01226113910251922,0.005823627287853577
assistant_random,人名信息查询,5,950,0.005263157894736842,0.0022501392157139007,0.01226113910251922,0.005823627287853577
assistant_random,明星百度影响力查询,5,950,0.005263157894736842,0.0022501392157139007,0.01226113910251922,0.004159733777038269
assistant_random,领导班子成员名单查询,12,950,0.01263157894736842,0.007240346777973663,0.021948423139775134,0.009983361064891847
assistant_random,查询人物配偶及亲属关系,3,950,0.003157894736842105,0.0010745378018279812,0.00924317148797209,0.0024958402662229617
assistant_random,查询部长级官员任职信息,2,950,0.002105263157894737,0.0005775290663679756,0.007643395709215569,0.0016638935108153079
assistant_random,人物简历查询,7,950,0.007368421052631579,0.0035737681623449176,0.015131079184321251,0.005823627287853577
assistant_random,美女图片查询,4,950,0.004210526315789474,0.001638572985958417,0.010775920818058178,0.0033277870216306157
assistant_random,查询含“马”字人物信息,1,950,0.0010526315789473684,0.00018583949176248287,0.005938300769604537,0.0008319467554076539
assistant_random,七一勋章获得者信息查询,1,950,0.0010526315789473684,0.00018583949176248287,0.005938300769604537,0.0008319467554076539
assistant_random,查询习近平个人资料与讲话,1,950,0.0010526315789473684,0.00018583949176248287,0.005938300769604537,0.0008319467554076539
