source,label,k,n,row_share,lo,hi,pv_share
2026search,25,195,9995,0.01950975487743872,0.016977131224208585,0.02241157800784682,0.01754146651620387
2026search,13,265,9995,0.026513256628314157,0.023540936492965295,0.02984939488458851,0.018357663287266315
2026search,5,228,9995,0.022811405702851426,0.0200625678172514,0.025926906140538965,0.0348980486809516
2026search,22,81,9995,0.008104052026013006,0.00652555498510617,0.01006051246713753,0.012120634784637912
2026search,1,1616,9995,0.1616808404202101,0.15459347103675497,0.1690281677489182,0.1403525879863501
2026search,26,120,9995,0.01200600300150075,0.010050505903686818,0.01433646531533457,0.01690959042479434
2026search,18,805,9995,0.08054027013506754,0.07536507292179061,0.0860377721496081,0.07379309411853566
2026search,14,29,9995,0.0029014507253626812,0.0020210074975764375,0.0041638549322970154,0.004870124379820098
2026search,23,165,9995,0.016508254127063533,0.014189587649442082,0.01919842637739972,0.012389506234773813
2026search,16,198,9995,0.019809904952476236,0.017256864757361455,0.022731913995215305,0.020840637580450055
2026search,21,80,9995,0.0080040020010005,0.006436270439132721,0.00994977383960386,0.007261783840882213
2026search,12,178,9995,0.017808904452226115,0.015395219370989784,0.020593095911444575,0.01449932979422597
2026search,0,257,9995,0.025712856428214106,0.02278736844543209,0.02900277754406476,0.020437048569344595
2026search,11,250,9995,0.02501250625312656,0.022128641215221078,0.02826134255972593,0.01729908764081931
assistant_top,11,6,850,0.007058823529411765,0.003239020360297779,0.015314141607324989,0.008988738102909245
assistant_top,20,58,850,0.06823529411764706,0.053153765031704533,0.08720186848170251,0.050992854136866
assistant_top,22,6,850,0.007058823529411765,0.003239020360297779,0.015314141607324989,0.008734765584414904
assistant_top,4,298,850,0.35058823529411764,0.31924835625985554,0.3832725305417867,0.4618563711944789
assistant_top,1,294,850,0.3458823529411765,0.31466372364705786,0.3784877422664471,0.2778039563041331
assistant_top,12,2,850,0.002352941176470588,0.0006454986614332628,0.00853824241805225,0.0026709093370582636
assistant_top,5,14,850,0.01647058823529412,0.009836143344805006,0.027455860399092268,0.008810327656033052
assistant_top,17,5,850,0.0058823529411764705,0.0025151293623659346,0.01369567738322252,0.005976749970352383
assistant_top,21,71,850,0.08352941176470588,0.06675046589015043,0.10405578550970268,0.05296271536502254
assistant_top,18,1,850,0.001176470588235294,0.00020770614075525922,0.006633679716695941,0.0005341818674116527
assistant_top,0,15,850,0.01764705882352941,0.010723060518284595,0.02891129844764699,0.017792768919640788
assistant_top,23,14,850,0.01647058823529412,0.009836143344805006,0.027455860399092268,0.016202816996008854
assistant_top,24,41,850,0.04823529411764706,0.03575313255811832,0.06478246218070541,0.05941382722942219
assistant_top,3,7,850,0.00823529411764706,0.003994796870108105,0.01690072031954898,0.003922930884842353
assistant_top,16,5,850,0.0058823529411764705,0.0025151293623659346,0.01369567738322252,0.0034622121426150145
assistant_top,15,2,850,0.002352941176470588,0.0006454986614332628,0.00853824241805225,0.0034926468659056587
assistant_top,14,11,850,0.012941176470588235,0.0072412687724702236,0.02302366930532411,0.016381227442885043
assistant_random,21,579,953,0.6075550891920252,0.5761809857745289,0.6380655835993342,0.5440067057837386
assistant_random,1,157,953,0.16474291710388247,0.14254638794604213,0.18963137873737956,0.22296730930427502
assistant_random,20,58,953,0.060860440713536204,0.047373027826277725,0.07787390599848593,0.06957250628667229
assistant_random,0,14,953,0.014690451206715634,0.008770675659055743,0.024506999117415443,0.011735121542330258
assistant_random,4,57,953,0.05981112277019937,0.046449369864945786,0.07670735352690213,0.06370494551550715
assistant_random,24,21,953,0.022035676810073453,0.01445720613835626,0.033451941668525095,0.024308466051969825
assistant_random,16,10,953,0.01049317943336831,0.005709536866098526,0.019207296178709705,0.009220452640402346
assistant_random,3,14,953,0.014690451206715634,0.008770675659055743,0.024506999117415443,0.013411567476948869
assistant_random,22,5,953,0.005246589716684155,0.0022430494896335277,0.012222731390596018,0.0050293378038558266
assistant_random,23,11,953,0.011542497376705142,0.006457194118099924,0.02054984935962405,0.009220452640402346
assistant_random,13,7,953,0.007345225603357817,0.0035625041392017805,0.01508369760685924,0.005867560771165132
assistant_random,25,1,953,0.001049317943336831,0.0001852544017472194,0.005919684746819377,0.0008382229673093045
assistant_random,5,8,953,0.008394543546694649,0.0042596671880294245,0.01647674499094734,0.010058675607711653
assistant_random,15,2,953,0.002098635886673662,0.0005757104349629863,0.007619439146519349,0.001676445934618609
assistant_random,17,3,953,0.0031479538300104933,0.0010711534200689467,0.009214206594329127,0.003352891869237218
assistant_random,26,2,953,0.002098635886673662,0.0005757104349629863,0.007619439146519349,0.001676445934618609
assistant_random,14,3,953,0.0031479538300104933,0.0010711534200689467,0.009214206594329127,0.0025146689019279133
assistant_random,12,1,953,0.001049317943336831,0.0001852544017472194,0.005919684746819377,0.0008382229673093045
