label,a,b,k_a,k_b,n_a,n_b,share_a,share_b,diff_pp,lo_pp,hi_pp,kind,sig,why
13,2025search,2026search,243,265,9988,9995,0.024329195034040848,0.026513256628314157,0.21840615942733088,-0.21902424564700557,0.6567644195216904,stable,False,时间（搜索内部，2025→2026）
21,2025search,2026search,54,80,9988,9995,0.005406487785342411,0.0080040020010005,0.2597514215658089,0.032837246206491186,0.4915727333165862,stable,True,时间（搜索内部，2025→2026）
5,2025search,2026search,199,228,9988,9995,0.019923908690428514,0.022811405702851426,0.28874970124229127,-0.11306218236030999,0.692086781473456,stable,False,时间（搜索内部，2025→2026）
19,2025search,2026search,152,192,9988,9995,0.015218261914297157,0.0192096048024012,0.3991342888104042,0.03803813836629677,0.7629566390558817,stable,True,时间（搜索内部，2025→2026）
17,2025search,2026search,422,631,9988,9995,0.04225070084100921,0.06313156578289145,2.088086494188224,1.4701262590538007,2.7094597020144775,stable,True,时间（搜索内部，2025→2026）
3,2025search,2026search,868,1111,9988,9995,0.0869042851421706,0.11115557778889444,2.4251292646723837,1.5976358910626975,3.2536634183117896,stable,True,时间（搜索内部，2025→2026）
18,2025search,2026search,561,805,9988,9995,0.05616740088105727,0.08054027013506754,2.4372869254010268,1.738975408680049,3.138144846198595,stable,True,时间（搜索内部，2025→2026）
3,2026search,assistant_top,1111,7,9995,850,0.11115557778889444,0.00823529411764706,-10.292028367124738,-11.05246113630836,-9.237272789718329,stable,True,界面（同为头部流量）
18,2026search,assistant_top,805,1,9995,850,0.08054027013506754,0.001176470588235294,-7.9363799546832245,-8.49460063644429,-7.184290879718938,stable,True,界面（同为头部流量）
24,2026search,assistant_top,1253,41,9995,850,0.12536268134067033,0.04823529411764706,-7.712738722302327,-9.126386064088571,-5.940433247152501,stable,True,界面（同为头部流量）
17,2026search,assistant_top,631,5,9995,850,0.06313156578289145,0.0058823529411764705,-5.724921284171498,-6.322575029210165,-4.818132753394734,stable,True,界面（同为头部流量）
20,2026search,assistant_top,982,58,9995,850,0.09824912456228115,0.06823529411764706,-3.0013830444634086,-4.624157278301832,-1.0214467312991842,stable,True,界面（同为头部流量）
13,2026search,assistant_top,265,0,9995,850,0.026513256628314157,0.0,-2.6513256628314155,-2.984939488458851,-2.1121043386479226,receded,True,界面（同为头部流量）
15,2026search,assistant_top,226,2,9995,850,0.022611305652826413,0.002352941176470588,-2.0258364476355823,-2.380014753903238,-1.3494868306080556,stable,True,界面（同为头部流量）
25,2026search,assistant_top,195,0,9995,850,0.01950975487743872,0.0,-1.9509754877438719,-2.241157800784682,-1.4346862352185028,receded,True,界面（同为头部流量）
19,2026search,assistant_top,192,0,9995,850,0.0192096048024012,0.0,-1.92096048024012,-2.209107636794681,-1.4056777525146518,receded,True,界面（同为头部流量）
11,2026search,assistant_top,250,6,9995,850,0.02501250625312656,0.007058823529411765,-1.7953682723714794,-2.296824487786659,-0.9209144192472882,stable,True,界面（同为头部流量）
12,2026search,assistant_top,178,2,9995,850,0.017808904452226115,0.002352941176470588,-1.5455963275755527,-1.8722013187153392,-0.8816397994768035,stable,True,界面（同为头部流量）
16,2026search,assistant_top,198,5,9995,850,0.019809904952476236,0.0058823529411764705,-1.3927552011299766,-1.8385839964712658,-0.5707694769562174,stable,True,界面（同为头部流量）
26,2026search,assistant_top,120,0,9995,850,0.01200600300150075,0.0,-1.2006003001500751,-1.433646531533457,-0.7100368938713515,receded,True,界面（同为头部流量）
0,2026search,assistant_top,257,15,9995,850,0.025712856428214106,0.01764705882352941,-0.8065797604684695,-1.5731652643723268,0.357213925057202,stable,False,界面（同为头部流量）
5,2026search,assistant_top,228,14,9995,850,0.022811405702851426,0.01647058823529412,-0.6340817467557307,-1.367036056260548,0.4983153312784212,stable,False,界面（同为头部流量）
22,2026search,assistant_top,81,6,9995,850,0.008104052026013006,0.007058823529411765,-0.10452284966012415,-0.5336922067728894,0.7359646843085395,stable,False,界面（同为头部流量）
23,2026search,assistant_top,165,14,9995,850,0.016508254127063533,0.01647058823529412,-0.0037665891769414483,-0.7196777969493576,1.1189640942336616,stable,False,界面（同为头部流量）
14,2026search,assistant_top,29,11,9995,850,0.0029014507253626812,0.012941176470588235,1.0039725745225554,0.4201694214927822,2.016058746939978,stable,True,界面（同为头部流量）
21,2026search,assistant_top,80,71,9995,850,0.0080040020010005,0.08352941176470588,7.552540976370538,5.8634019865027325,9.611156533897901,stable,True,界面（同为头部流量）
1,2026search,assistant_top,1616,294,9995,850,0.1616808404202101,0.3458823529411765,18.420151252096638,15.21299357920498,21.756829567172886,stable,True,界面（同为头部流量）
4,2026search,assistant_top,1133,298,9995,850,0.11335667833916958,0.35058823529411764,23.723155695494807,20.52519917394005,27.047421702279877,stable,True,界面（同为头部流量）
4,assistant_top,assistant_random,298,57,850,953,0.35058823529411764,0.05981112277019937,-29.077711252391826,-32.60871620358895,-25.51727499869211,stable,True,深度（助手头部→长尾）
1,assistant_top,assistant_random,294,157,850,953,0.3458823529411765,0.16474291710388247,-18.1139435837294,-22.05830325255694,-14.121402616518598,stable,True,深度（助手头部→长尾）
24,assistant_top,assistant_random,41,21,850,953,0.04823529411764706,0.022035676810073453,-2.6199617307573604,-4.439967194016127,-0.9284078282272203,stable,True,深度（助手头部→长尾）
14,assistant_top,assistant_random,11,3,850,953,0.012941176470588235,0.0031479538300104933,-0.9793222640577742,-2.0087384175410663,-0.14692590193412547,stable,True,深度（助手头部→长尾）
5,assistant_top,assistant_random,14,8,850,953,0.01647058823529412,0.008394543546694649,-0.807604468859947,-1.981373641287674,0.23804288656356,stable,False,深度（助手头部→长尾）
20,assistant_top,assistant_random,58,58,850,953,0.06823529411764706,0.060860440713536204,-0.7374853404110857,-3.0648040755624004,1.53608128621836,stable,False,深度（助手头部→长尾）
11,assistant_top,assistant_random,6,0,850,953,0.007058823529411765,0.0,-0.7058823529411765,-1.531414160732499,-0.15172585057884888,receded,True,深度（助手头部→长尾）
23,assistant_top,assistant_random,14,11,850,953,0.01647058823529412,0.011542497376705142,-0.4928090858588977,-1.7033317570414714,0.625887694994298,stable,False,深度（助手头部→长尾）
0,assistant_top,assistant_random,15,14,850,953,0.01764705882352941,0.014690451206715634,-0.2956607616813777,-1.5681655233393155,0.905615082636229,stable,False,深度（助手头部→长尾）
17,assistant_top,assistant_random,5,3,850,953,0.0058823529411764705,0.0031479538300104933,-0.2734399111165977,-1.081902271275731,0.4203728678829037,stable,False,深度（助手头部→长尾）
22,assistant_top,assistant_random,6,5,850,953,0.007058823529411765,0.005246589716684155,-0.181223381272761,-1.0596966618170938,0.6141221342440052,stable,False,深度（助手头部→长尾）
12,assistant_top,assistant_random,2,1,850,953,0.002352941176470588,0.001049317943336831,-0.1303623233133757,-0.7548986093129647,0.3857368216444684,stable,False,深度（助手头部→长尾）
