层级,快照,名次,key,条数,行占比%,流量占比%
自上而下 L2 子意图,2025搜索,5,TREATMENT_SEEKING__2,577,5.771154230846169,5.4697767768892485
自上而下 L2 子意图,2025搜索,6,DISEASE_CONCEPT_INFO__4,494,4.940988197639528,4.1529735240266525
自上而下 L2 子意图,2025搜索,7,TREATMENT_SEEKING__1,386,3.860772154430886,3.4679368955018712
自上而下 L2 子意图,2025搜索,8,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__6,324,3.2406481296259253,3.3201645469515673
自上而下 L2 子意图,2025搜索,9,DISEASE_CONCEPT_INFO__1,266,2.660532106421284,2.7123807322949967
自上而下 L2 子意图,2025搜索,10,RESULT_INTERPRETATION__1,186,1.860372074414883,2.2002814407901643
自上而下 L2 子意图,2025搜索随机1w,1,SUBSTANCE_EFFICACY_LOOKUP__2,1030,10.3,17.72083119171745
自上而下 L2 子意图,2025搜索随机1w,2,DISEASE_CONCEPT_INFO__4,661,6.61,4.608267861076437
自上而下 L2 子意图,2025搜索随机1w,3,PERMISSION_CHECK__1,657,6.57,2.1029444158895663
自上而下 L2 子意图,2025搜索随机1w,4,PERMISSION_CHECK__2,584,5.84,2.987003451061018
自上而下 L2 子意图,2025搜索随机1w,5,TREATMENT_SEEKING__2,563,5.63,4.750715911594097
自上而下 L2 子意图,2025搜索随机1w,6,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__3,507,5.07,2.0721051472207943
自上而下 L2 子意图,2025搜索随机1w,7,RESULT_INTERPRETATION__2,474,4.74,1.1762978192231441
自上而下 L2 子意图,2025搜索随机1w,8,CARE_NAVIGATION_COST__1,448,4.48,1.6139217269990453
自上而下 L2 子意图,2025搜索随机1w,9,SUBSTANCE_EFFICACY_LOOKUP__1,419,4.19,6.753799838460974
自上而下 L2 子意图,2025搜索随机1w,10,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__4,337,3.37,1.4053895293340186
自上而下 L2 子意图,2026搜索,1,SUBSTANCE_EFFICACY_LOOKUP__2,3735,37.357471494298856,44.80464385686035
自上而下 L2 子意图,2026搜索,2,SUBSTANCE_EFFICACY_LOOKUP__1,641,6.41128225645129,4.8580743999384035
自上而下 L2 子意图,2026搜索,3,DISEASE_CONCEPT_INFO__2,604,6.04120824164833,7.313348784439783
自上而下 L2 子意图,2026搜索,4,TREATMENT_SEEKING__2,560,5.601120224044809,4.904807884864359
自上而下 L2 子意图,2026搜索,5,DISEASE_CONCEPT_INFO__4,482,4.820964192838567,4.013511622026331
自上而下 L2 子意图,2026搜索,6,TREATMENT_SEEKING__1,389,3.8907781556311263,3.526880489960459
自上而下 L2 子意图,2026搜索,7,DISEASE_CONCEPT_INFO__5,370,3.700740148029606,2.694509890736958
自上而下 L2 子意图,2026搜索,8,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__6,305,3.050610122024405,3.086848440850748
自上而下 L2 子意图,2026搜索,9,DISEASE_CONCEPT_INFO__1,244,2.440488097619524,2.4928301349184565
自上而下 L2 子意图,2026搜索,10,DISEASE_CONCEPT_INFO__3,162,1.6203240648129626,1.446549200625084
自上而下 L2 子意图,2026搜索随机1w,1,SUBSTANCE_EFFICACY_LOOKUP__2,1024,10.24,12.779694979405544
自上而下 L2 子意图,2026搜索随机1w,2,PERMISSION_CHECK__2,711,7.11,5.304463987532005
自上而下 L2 子意图,2026搜索随机1w,3,PERMISSION_CHECK__1,670,6.7,4.586441055326729
自上而下 L2 子意图,2026搜索随机1w,4,DISEASE_CONCEPT_INFO__4,626,6.26,5.081821217855949
自上而下 L2 子意图,2026搜索随机1w,5,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__3,538,5.38,4.046532338862296
自上而下 L2 子意图,2026搜索随机1w,6,TREATMENT_SEEKING__2,535,5.35,7.113436491149949
自上而下 L2 子意图,2026搜索随机1w,7,RESULT_INTERPRETATION__2,528,5.28,3.707002115106312
自上而下 L2 子意图,2026搜索随机1w,8,CARE_NAVIGATION_COST__1,504,5.04,3.86285205387955
自上而下 L2 子意图,2026搜索随机1w,9,SUBSTANCE_EFFICACY_LOOKUP__1,435,4.35,3.6012467995101862
自上而下 L2 子意图,2026搜索随机1w,10,TREATMENT_SEEKING__1,338,3.38,11.371479461204496
自上而下 L2 子意图,助手头部1k,1,SUBSTANCE_EFFICACY_LOOKUP__2,201,20.981210855949897,16.05075494543691
自上而下 L2 子意图,助手头部1k,2,SUBSTANCE_EFFICACY_LOOKUP__1,91,9.498956158663884,10.537915334578527
自上而下 L2 子意图,助手头部1k,3,NON_HEALTH_OTHER__2,72,7.515657620041754,8.50053665486408
自上而下 L2 子意图,助手头部1k,4,DISEASE_CONCEPT_INFO__5,67,6.993736951983299,6.896301473986564
自上而下 L2 子意图,助手头部1k,5,TREATMENT_SEEKING__2,62,6.471816283924843,5.505582356468698
自上而下 L2 子意图,助手头部1k,6,DISEASE_CONCEPT_INFO__2,47,4.906054279749478,3.4884475968938955
