key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
SYMPTOM_ATTRIBUTION_DIFFERENTIATION__1,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__1,982,123,0.8844,0.81,24.39,330,0.8358,0.61,24.24,118,0.8969,0.0,21.19,320,0.837,1.56,27.19,10,0.665,0.0,20.0,36,0.7887,0.0,13.89,13,0.7231,7.69,53.85,32,0.8663,0.0,6.25,助手随机1k,0.1082,0.8457
TREATMENT_SEEKING__1,TREATMENT_SEEKING__1,1538,386,0.9066,0.52,5.7,306,0.7808,1.31,10.46,389,0.9016,0.51,6.43,338,0.7797,1.18,10.65,42,0.8727,0.0,9.52,28,0.8075,0.0,25.0,13,0.9175,7.69,7.69,36,0.8095,0.0,13.89,2026搜索随机1w,0.1269,0.8475
DOSAGE_ADMINISTRATION__4,DOSAGE_ADMINISTRATION__4,156,40,0.9154,0.0,5.0,20,0.7736,5.0,25.0,48,0.9454,0.0,2.08,34,0.7559,0.0,8.82,5,0.6953,0.0,20.0,3,0.7864,0.0,33.33,0,,,,6,0.7107,0.0,0.0,2026搜索随机1w,0.1895,0.8543
CARE_NAVIGATION_COST__1,CARE_NAVIGATION_COST__1,1117,28,0.7422,3.57,7.14,448,0.8599,1.12,9.38,35,0.7749,0.0,5.71,504,0.8684,0.2,8.33,30,0.9245,0.0,6.67,45,0.7884,0.0,26.67,1,0.7043,0.0,100.0,26,0.8454,0.0,0.0,2025搜索,0.1823,0.8565
REFERENCE_VALUE_CALCULATOR__1,REFERENCE_VALUE_CALCULATOR__1,399,122,0.9192,0.0,0.82,61,0.778,0.0,4.92,129,0.9106,0.0,1.55,59,0.7178,1.69,10.17,11,0.9264,0.0,0.0,4,0.7181,0.0,25.0,6,0.8666,0.0,0.0,7,0.658,0.0,0.0,2026搜索随机1w,0.2014,0.8579
SYMPTOM_ATTRIBUTION_DIFFERENTIATION__6,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__6,920,324,0.8689,0.93,21.6,159,0.8966,0.0,29.56,305,0.8671,0.66,21.64,103,0.8936,0.0,28.16,12,0.7794,0.0,33.33,4,0.923,0.0,50.0,1,0.7533,0.0,0.0,12,0.8908,0.0,25.0,2026搜索,0.0295,0.8751
CARE_NAVIGATION_COST__3,CARE_NAVIGATION_COST__3,323,46,0.9369,2.17,13.04,97,0.8619,0.0,26.8,50,0.9457,0.0,12.0,87,0.8675,2.3,19.54,17,0.8648,0.0,11.76,20,0.7358,0.0,35.0,1,0.8708,0.0,0.0,5,0.7399,0.0,0.0,助手随机1k,0.2099,0.8775
CARE_NAVIGATION_COST__2,CARE_NAVIGATION_COST__2,924,155,0.8971,0.0,2.58,258,0.8891,0.78,6.59,140,0.9233,0.0,3.57,313,0.8802,0.64,6.71,39,0.8787,0.0,10.26,5,0.7479,0.0,40.0,7,0.7786,0.0,14.29,7,0.855,0.0,14.29,助手头部1k,0.0446,0.8903
SUBSTANCE_EFFICACY_LOOKUP__2,SUBSTANCE_EFFICACY_LOOKUP__2,9537,3063,0.9532,0.29,26.15,1030,0.7651,1.07,31.94,3735,0.9509,0.37,26.27,1024,0.7529,2.25,30.18,201,0.948,0.0,25.37,96,0.7468,2.08,34.38,195,0.9371,0.0,21.54,193,0.7683,0.52,19.69,助手随机1k,0.2064,0.9042
DISEASE_CONCEPT_INFO__2,DISEASE_CONCEPT_INFO__2,1495,592,0.9476,0.0,3.55,122,0.8818,0.0,10.66,604,0.9432,0.17,3.48,100,0.8654,0.0,14.0,47,0.9481,0.0,6.38,9,0.808,0.0,11.11,6,0.9367,0.0,0.0,15,0.8899,0.0,20.0,2026搜索随机1w,0.0827,0.9335
