层级,快照,名次,key,条数,行占比%,流量占比%
自上而下 L2 子意图,2026搜索随机1w,7,BARE_NAME_DEFAULT_LOOKUP__4,410,4.1,5.267358339984039
自上而下 L2 子意图,2026搜索随机1w,8,BARE_NAME_DEFAULT_LOOKUP__2,330,3.3,3.4379028792436612
自上而下 L2 子意图,2026搜索随机1w,9,PERSON_LIST_LOOKUP__2,329,3.29,3.5913806863527533
自上而下 L2 子意图,2026搜索随机1w,10,BIO_PROFILE_LOOKUP__1,272,2.72,1.7772730063232856
自上而下 L2 子意图,助手头部1k,1,BARE_NAME_DEFAULT_LOOKUP__1,231,25.984251968503937,30.290079753278835
自上而下 L2 子意图,助手头部1k,2,BARE_NAME_DEFAULT_LOOKUP__4,147,16.53543307086614,18.71673492397738
自上而下 L2 子意图,助手头部1k,3,OUT_OF_SCOPE_OR_UNPARSEABLE__1,145,16.310461192350957,14.935500986553032
自上而下 L2 子意图,助手头部1k,4,BARE_NAME_DEFAULT_LOOKUP__2,55,6.186726659167604,5.061680290494271
自上而下 L2 子意图,助手头部1k,5,EVALUATION_OPINION_LOOKUP__1,30,3.374578177727784,3.6560494768781813
自上而下 L2 子意图,助手头部1k,6,RELATION_AND_FAMILY_LOOKUP__5,25,2.81214848143982,1.8562119679660427
自上而下 L2 子意图,助手头部1k,7,BARE_NAME_DEFAULT_LOOKUP__3,24,2.699662542182227,2.170416673575301
自上而下 L2 子意图,助手头部1k,8,BIO_PROFILE_LOOKUP__4,23,2.5871766029246346,2.953026811029497
自上而下 L2 子意图,助手头部1k,9,REVERSE_ENTITY_RESOLUTION__1,18,2.0247469066366706,1.7927907015304008
自上而下 L2 子意图,助手头部1k,10,BIO_PROFILE_LOOKUP__1,16,1.7997750281214848,1.6414916018636734
自上而下 L2 子意图,助手随机1k,1,OUT_OF_SCOPE_OR_UNPARSEABLE__1,144,15.157894736842104,14.143094841930116
自上而下 L2 子意图,助手随机1k,2,POST_TENURE_AND_MOVE_RESOLUTION__2,90,9.473684210526315,8.81863560732113
自上而下 L2 子意图,助手随机1k,3,PERSON_LIST_LOOKUP__2,65,6.842105263157895,5.574043261231282
自上而下 L2 子意图,助手随机1k,4,EVALUATION_OPINION_LOOKUP__1,57,6.0,5.407653910149749
自上而下 L2 子意图,助手随机1k,5,RELATION_AND_FAMILY_LOOKUP__5,48,5.052631578947368,4.242928452579035
自上而下 L2 子意图,助手随机1k,6,BARE_NAME_DEFAULT_LOOKUP__5,38,4.0,3.743760399334443
自上而下 L2 子意图,助手随机1k,7,PERSON_LIST_LOOKUP__1,32,3.3684210526315788,2.9118136439267883
自上而下 L2 子意图,助手随机1k,8,CAUSAL_EXPLANATION__1,30,3.1578947368421053,2.579034941763727
自上而下 L2 子意图,助手随机1k,9,BIO_PROFILE_LOOKUP__1,28,2.9473684210526314,2.995008319467554
自上而下 L2 子意图,助手随机1k,10,FICTIONAL_PLOT_SETTING_LOOKUP__1,26,2.736842105263158,2.1630615640599
自上而下 L2 子意图,助手语音头部1k,1,BARE_NAME_DEFAULT_LOOKUP__1,269,26.926926926926928,26.846249879957746
自上而下 L2 子意图,助手语音头部1k,2,OUT_OF_SCOPE_OR_UNPARSEABLE__1,193,19.31931931931932,21.065014885239602
自上而下 L2 子意图,助手语音头部1k,3,BARE_NAME_DEFAULT_LOOKUP__2,182,18.21821821821822,18.899452607317777
自上而下 L2 子意图,助手语音头部1k,4,BARE_NAME_DEFAULT_LOOKUP__4,167,16.716716716716718,15.956016517814271
自上而下 L2 子意图,助手语音头部1k,5,BARE_NAME_DEFAULT_LOOKUP__3,37,3.7037037037037037,3.8797656775184866
自上而下 L2 子意图,助手语音头部1k,6,OUT_OF_SCOPE_OR_UNPARSEABLE__2,17,1.7017017017017018,1.5845577643330453
自上而下 L2 子意图,助手语音头部1k,7,PERSON_LIST_LOOKUP__2,14,1.4014014014014013,1.4597138192643813
自上而下 L2 子意图,助手语音头部1k,8,BIO_PROFILE_LOOKUP__2,12,1.2012012012012012,1.181215787957361
自上而下 L2 子意图,助手语音头部1k,9,POST_TENURE_AND_MOVE_RESOLUTION__1,11,1.1011011011011012,1.1187938154230288
自上而下 L2 子意图,助手语音头部1k,10,BARE_NAME_DEFAULT_LOOKUP__5,10,1.001001001001001,0.7730721213867281
自上而下 L2 子意图,助手语音随机1k,1,OUT_OF_SCOPE_OR_UNPARSEABLE__1,168,16.8,17.83649876135425
自上而下 L2 子意图,助手语音随机1k,2,BARE_NAME_DEFAULT_LOOKUP__5,76,7.6,6.771263418662262
自上而下 L2 子意图,助手语音随机1k,3,BARE_NAME_DEFAULT_LOOKUP__1,75,7.5,8.092485549132947
自上而下 L2 子意图,助手语音随机1k,4,BARE_NAME_DEFAULT_LOOKUP__4,63,6.3,7.59702725020644
自上而下 L2 子意图,助手语音随机1k,5,BARE_NAME_DEFAULT_LOOKUP__2,52,5.2,7.101568951279933
