source,label,n,distinct,hhi_strings,top1_pv_share,top5_pv_share
2025search,查询金融业务办理与资金问题处理方法,58,58,0.017241379310344827,0.06503222836095765,0.23860497237569064
2025search,金融代码行情查询,66,66,0.015151515151515154,0.043676720665891,0.1909066499597244
2025search,基金净值查询,25,25,0.04,0.10679979777553084,0.40937815975733055
2025search,ST股票信息查询,38,38,0.02631578947368421,0.07651570489408327,0.26470051132213296
2026search,今日金价查询,104,104,0.009615384615384618,0.8918503104696339,0.9344881401706755
2026search,黄金价格查询,54,54,0.018518518518518514,0.895256897893297,0.9530571115117127
2026search,查询上证指数行情,56,56,0.017857142857142856,0.77256819244797,0.9028613295424961
2026search,实时国际金价查询,71,71,0.014084507042253523,0.5471191184688794,0.922703629581158
2026search,查询股票行情,380,380,0.0026315789473684206,0.1529983497114436,0.4553640888096113
2026search,东方财富官方入口查询,61,61,0.01639344262295082,0.3885868080901376,0.7282514239178473
2026search,股票信息查询,2275,2275,0.00043956043956043967,0.026703188889958304,0.09134721364103489
2026search,查询美股行情,83,83,0.012048192771084335,0.4227642803853515,0.7017094294333259
2026search,大盘走势查询,74,74,0.013513513513513518,0.4293070628474355,0.6673416300745493
2026search,查询科技类股票行情,354,354,0.002824858757062147,0.10944106088543704,0.30529428685544235
2026search,指数行情查询,123,123,0.008130081300813012,0.13218271131243964,0.46054693233837307
2026search,查询白银价格行情,52,52,0.01923076923076923,0.3160318791946309,0.7587164429530201
2026search,汇率换算查询,559,559,0.0017889087656529517,0.05580498039668922,0.19625981276837867
2026search,财经网站查询,55,55,0.01818181818181817,0.5299728108411377,0.6839440104728611
2026search,查询A股股票及板块信息,135,135,0.007407407407407407,0.1951832106696291,0.5455385228432219
2026search,查询金融品种价格走势图,101,101,0.009900990099009903,0.21364004184182997,0.39733949118755796
2026search,黄金价格与行情查询,275,275,0.003636363636363636,0.07087618870324693,0.23755449031197157
2026search,查询个股股票信息,450,450,0.0022222222222222227,0.0359488319708379,0.1485444697463318
2026search,查询新材类股票及股吧信息,141,141,0.007092198581560282,0.13340371909270485,0.3227811456985219
2026search,能源资源类股票查询,91,91,0.01098901098901099,0.17723762319174688,0.3643161777419169
2026search,蚂蚁庄园今日答案查询,53,53,0.018867924528301876,0.22221004366014502,0.5700297765842786
2026search,加密货币价格行情查询,89,89,0.011235955056179773,0.17678987194412107,0.37208963911525034
2026search,黄金价格及黄金股票行情查询,71,71,0.014084507042253523,0.17312590448625179,0.4552966714905933
2026search,含龙字股票信息查询,51,51,0.019607843137254905,0.25938720336437365,0.5249073795934713
2026search,查询证券股票与券商信息,115,115,0.008695652173913047,0.09551932929669303,0.26250582207731715
2026search,钢铁股票查询,35,35,0.028571428571428567,0.3396334094266148,0.587753457768229
2026search,金属行情报价查询,41,41,0.024390243902439025,0.22863304181142924,0.7158979273990654
2026search,银行服务信息查询,23,23,0.043478260869565195,0.3312554680664917,0.7165718868474775
2026search,个人征信查询与信用报告获取,28,28,0.03571428571428572,0.32534027221777423,0.6711769415532426
2026search,数字串含义查询,81,80,0.01265051059289742,0.21320365458296495,0.3219569702328323
2026search,银行股票信息查询,52,52,0.01923076923076923,0.13256536844029987,0.44373336583978384
2026search,股票代码查询,709,709,0.0014104372355430187,0.02192238797806736,0.06887793472167147
2026search,贷款信息查询与办理,36,36,0.027777777777777776,0.27039518317503397,0.5530444369063774
2026search,车险保险公司电话查询,34,34,0.029411764705882353,0.22604360923827288,0.6330153493042605
2026search,银行信用卡客服电话查询,44,44,0.02272727272727272,0.13522627638767115,0.46010656235246516
2026search,A股个股推荐与走势预测,45,45,0.02222222222222223,0.27512867825580267,0.4653297076818491
2026search,股票股吧查询,1313,1313,0.0007616146230007617,0.01059955531702829,0.04276623476194127
2026search,电子支付工具使用查询,45,45,0.02222222222222223,0.1853323573495068,0.5992540695039912
2026search,银行客服电话查询,71,71,0.014084507042253523,0.10093316318392087,0.3894959323656085
2026search,数字代码查询,77,77,0.012987012987012984,0.16691039617123105,0.36210449348577506
2026search,查询银行及业务信息,84,84,0.011904761904761904,0.10446326390478372,0.2746852826733807
2026search,港股休市查询,46,46,0.021739130434782615,0.12200603060818116,0.42578369460089893
2026search,查询农业银行及农村金融机构信息,19,19,0.05263157894736842,0.21920591913297208,0.7435389745727387
2026search,国际原油价格行情查询,56,56,0.017857142857142856,0.11903010328693758,0.352794044080864
2026search,货币兑换查询,166,166,0.006024096385542167,0.03512030664504976,0.14474376456188193
2026search,保险信息查询,58,58,0.017241379310344827,0.11650235432607416,0.3010594467333726
2026search,金融术语与行情原因查询,57,57,0.01754385964912281,0.10687104345970551,0.35934276975602814
2026search,金融类App下载,64,64,0.015625,0.11315892229597814,0.280632565404139
2026search,关闭花呗,17,17,0.058823529411764705,0.30926046410756886,0.6531121231836912
2026search,电话号码归属与用途查询,70,70,0.01428571428571429,0.08454513523006672,0.29834913944502983
2026search,银行客服短号查询,60,60,0.016666666666666663,0.08446895195279573,0.2917603259342512
2026search,查询金融机构24小时人工客服电话,54,54,0.018518518518518514,0.0656590994606798,0.28436598520005024
2026search,加密货币交易所App官方下载地址查询,32,32,0.03125,0.14850208570345086,0.37034508911642017
2026search,查询概念板块龙头股,61,61,0.01639344262295082,0.0645708829873758,0.248629725237809
2026search,期货行情查询,105,105,0.009523809523809526,0.04199132179349601,0.1885177063406896
2026search,金融代码行情查询,74,74,0.013513513513513518,0.062283614781318455,0.20041687274782735
2026search,证券代码行情查询,96,96,0.01041666666666667,0.05082117654504603,0.1651213569190848
2026search,查询资金产品安全性及存取借贷规则,33,33,0.030303030303030307,0.15448101757452176,0.3295465579182445
2026search,基金净值查询,89,89,0.011235955056179773,0.06411552930706688,0.1742243436754177
2026search,术语含义查询,48,48,0.020833333333333336,0.08171411799236865,0.26891693572057523
2026search,查询车险险种与保费理赔范围,19,19,0.05263157894736842,0.21384928716904272,0.5293749020836597
2026search,银行存贷款利率与利息查询,56,56,0.017857142857142856,0.06117849093055704,0.23076097456262745
2026search,银行卡业务办理与异常处理,25,25,0.04,0.12424310383494058,0.41511549674814985
2026search,ST股票信息查询,40,40,0.025000000000000005,0.08044016036850636,0.2940373624498848
2026search,借款平台正规性查询,29,29,0.03448275862068965,0.10735122520420072,0.3430571761960327
2026search,查询金融业务办理与资金问题处理方法,34,34,0.029411764705882353,0.06960167714884696,0.2936058700209644
assistant_top,股票股吧查询,6,6,0.16666666666666669,0.4587869362363919,0.9206842923794711
assistant_top,查询上证指数行情,6,6,0.16666666666666669,0.7688679245283019,0.9743186582809225
assistant_top,股票代码查询,3,3,0.3333333333333333,0.43450479233226835,1.0
assistant_top,贷款信息查询与办理,14,13,0.0816326530612245,0.36662817551963045,0.7419168591224019
assistant_top,汇率换算查询,60,60,0.016666666666666663,0.07666045934202358,0.3041589075108628
assistant_top,黄金价格与行情查询,31,31,0.03225806451612903,0.15136145221569672,0.4842498665242925
assistant_top,黄金价格查询,15,15,0.06666666666666667,0.7232172470978441,0.8920398009950248
assistant_top,银行存贷款利率与利息查询,13,13,0.07692307692307694,0.44904458598726116,0.759326660600546
assistant_top,证券代码行情查询,2,2,0.5,0.5,1.0
assistant_top,查询概念板块龙头股,15,15,0.06666666666666667,0.14636209813874784,0.4983079526226733
assistant_top,蚂蚁庄园今日答案查询,32,32,0.03125,0.07060810810810811,0.2608108108108108
assistant_top,电话号码归属与用途查询,3,3,0.3333333333333333,0.5857605177993527,1.0
assistant_top,银行客服短号查询,5,5,0.20000000000000004,0.3246073298429319,0.9999999999999997
assistant_top,术语含义查询,7,7,0.14285714285714285,0.2551622418879056,0.8657817109144542
assistant_top,查询A股股票及板块信息,11,11,0.09090909090909091,0.4008245533669263,0.7924874026568942
assistant_top,大盘走势查询,12,12,0.08333333333333334,0.5488785442234448,0.8294540837917902
assistant_top,指数行情查询,27,27,0.03703703703703703,0.11597704620960435,0.42555119299305344
assistant_top,查询股票行情,64,64,0.015625,0.14330001265342274,0.4485005694040238
assistant_top,A股个股推荐与走势预测,48,47,0.02170138888888888,0.15337293169282987,0.4446330080610947
assistant_top,股票信息查询,150,150,0.006666666666666669,0.07859258811438244,0.2528867662172783
